mm_id,tag_id,mm_kind,pole,x,y
66,0,1,2,16600.508,96709.691
67,0,1,2,16600.692,96708.709
68,0,1,2,16600.876,96707.726
69,0,1,2,16601.06,96706.743
70,0,1,2,16601.245,96705.761
71,0,1,2,16601.429,96704.778
72,0,1,2,16601.613,96703.795
73,0,1,2,16601.798,96702.813
74,0,1,2,16601.982,96701.83
75,0,1,2,16602.166,96700.848
76,0,1,2,16602.351,96699.865
77,0,1,2,16602.535,96698.882
78,0,1,2,16602.719,96697.9
79,0,1,2,16602.903,96696.917
80,0,1,2,16603.088,96695.934
81,0,1,2,16603.272,96694.952
82,0,1,2,16603.456,96693.969
83,0,1,2,16603.641,96692.986
84,0,1,2,16603.825,96692.004
85,0,1,2,16604.009,96691.021
86,0,1,2,16604.194,96690.038
87,0,1,2,16604.378,96689.056
88,0,1,2,16604.562,96688.073
89,0,1,2,16604.746,96687.091
90,0,1,2,16604.931,96686.108
91,0,1,2,16605.115,96685.125
92,0,1,2,16605.299,96684.143
93,0,1,2,16605.484,96683.16
94,0,1,2,16605.668,96682.177
95,0,1,2,16605.852,96681.195
96,0,1,2,16606.037,96680.212
97,0,1,2,16606.221,96679.229
98,0,1,2,16606.405,96678.247
99,0,1,2,16606.589,96677.264
100,0,1,2,16606.774,96676.281
101,0,1,2,16606.958,96675.299
102,0,1,2,16607.142,96674.316
103,0,1,2,16607.327,96673.333
104,0,1,2,16607.511,96672.351
105,0,1,2,16607.695,96671.368
106,0,1,2,16607.88,96670.385
107,0,1,2,16608.064,96669.403
108,0,1,2,16608.248,96668.42
109,0,1,2,16608.432,96667.438
110,0,1,2,16608.617,96666.455
111,0,1,2,16608.801,96665.472
112,0,1,2,16608.985,96664.49
113,0,1,2,16609.17,96663.507
114,0,1,2,16609.354,96662.524
115,0,1,2,16609.538,96661.542
116,0,1,2,16609.723,96660.559
117,0,1,2,16609.907,96659.576
118,0,1,2,16610.091,96658.594
119,0,1,2,16610.275,96657.611
120,0,1,2,16610.46,96656.628
121,0,1,2,16610.644,96655.646
122,0,1,2,16610.828,96654.663
123,0,1,2,16611.013,96653.681
124,0,1,2,16611.197,96652.698
125,0,1,2,16611.381,96651.715
126,0,1,2,16611.565,96650.733
127,0,1,2,16611.75,96649.75
128,0,1,2,16611.934,96648.767
129,0,1,2,16612.118,96647.785
130,0,1,2,16612.303,96646.802
131,0,1,2,16612.487,96645.819
132,0,1,2,16612.671,96644.837
133,0,1,2,16612.856,96643.854
134,0,1,2,16613.04,96642.871
135,0,1,2,16613.224,96641.889
136,0,1,2,16613.408,96640.906
137,0,1,2,16613.593,96639.923
