mm_id,tag_id,mm_kind,pole,x,y
670,0,1,2,17153.654,95899.195
671,0,1,2,17154.584,95900.965
672,0,1,2,17155.501,95902.742
673,0,1,2,17156.396,95904.53
674,0,1,2,17157.277,95906.325
675,0,1,2,17158.136,95908.13
676,0,1,2,17158.981,95909.943
677,0,1,2,17159.803,95911.765
678,0,1,2,17160.612,95913.594
679,0,1,2,17161.398,95915.432
680,0,1,2,17162.17,95917.277
681,0,1,2,17162.919,95919.131
682,0,1,2,17163.654,95920.99
683,0,1,2,17164.366,95922.859
684,0,1,2,17165.063,95924.733
685,0,1,2,17165.738,95926.615
686,0,1,2,17166.397,95928.502
687,0,1,2,17167.034,95930.398
688,0,1,2,17167.656,95932.298
689,0,1,2,17168.255,95934.206
690,0,1,2,17168.839,95936.118
691,0,1,2,17169.399,95938.038
692,0,1,2,17169.944,95939.961
693,0,1,2,17170.466,95941.892
694,0,1,2,17170.973,95943.826
695,0,1,2,17171.456,95945.766
696,0,1,2,17171.924,95947.71
697,0,1,2,17172.368,95949.66
698,0,1,2,17172.797,95951.613
699,0,1,2,17173.203,95953.571
700,0,1,2,17173.593,95955.532
701,0,1,2,17173.958,95957.497
702,0,1,2,17174.309,95959.466
703,0,1,2,17174.636,95961.439
704,0,1,2,17174.947,95963.414
705,0,1,2,17175.234,95965.393
706,0,1,2,17175.506,95967.373
707,0,1,2,17175.753,95969.358
708,0,1,2,17175.985,95971.344
709,0,1,2,17176.192,95973.332
710,0,1,2,17176.385,95975.323
711,0,1,2,17176.552,95977.315
712,0,1,2,17176.705,95979.309
713,0,1,2,17176.833,95981.304
714,0,1,2,17176.945,95983.301
715,0,1,2,17177.033,95985.298
716,0,1,2,17177.106,95987.296
717,0,1,2,17177.154,95989.295
718,0,1,2,17177.187,95991.295
719,0,1,2,17177.195,95993.294
720,0,1,2,17177.187,95995.293
721,0,1,2,17177.155,95997.293
722,0,1,2,17177.108,95999.292
723,0,1,2,17177.036,96001.29
724,0,1,2,17176.949,96003.288
725,0,1,2,17176.837,96005.284
726,0,1,2,17176.709,96007.279
727,0,1,2,17176.558,96009.273
728,0,1,2,17176.39,96011.266
729,0,1,2,17176.199,96013.256
730,0,1,2,17175.992,96015.245
731,0,1,2,17175.76,96017.231
732,0,1,2,17175.514,96019.215
733,0,1,2,17175.243,96021.196
734,0,1,2,17174.956,96023.175
735,0,1,2,17174.645,96025.15
736,0,1,2,17174.32,96027.123
737,0,1,2,17173.97,96029.091
738,0,1,2,17173.604,96031.057
739,0,1,2,17173.215,96033.019
740,0,1,2,17172.811,96034.977
741,0,1,2,17172.382,96036.93
742,0,1,2,17171.938,96038.88
743,0,1,2,17171.471,96040.824
744,0,1,2,17170.988,96042.764
745,0,1,2,17170.482,96044.698
746,0,1,2,17169.961,96046.629
747,0,1,2,17169.416,96048.553
748,0,1,2,17168.856,96050.472
749,0,1,2,17168.273,96052.385
750,0,1,2,17167.675,96054.293
751,0,1,2,17167.054,96056.193
752,0,1,2,17166.418,96058.089
753,0,1,2,17165.758,96059.977
754,0,1,2,17165.085,96061.859
755,0,1,2,17164.388,96063.733
756,0,1,2,17163.676,96065.602
757,0,1,2,17162.942,96067.462
758,0,1,2,17162.194,96069.316
759,0,1,2,17161.422,96071.161
760,0,1,2,17160.637,96073
761,0,1,2,17159.829,96074.828
762,0,1,2,17159.007,96076.651
763,0,1,2,17158.162,96078.464
764,0,1,2,17157.304,96080.27
765,0,1,2,17156.423,96082.065
766,0,1,2,17155.529,96083.853
767,0,1,2,17154.613,96085.63
